title,genres,keywords,tagline,cast,director
The Dark Knight,action crime thriller,joker vigilante gotham,Why So Serious?,Christian Bale Heath Ledger Aaron Eckhart,Christopher Nolan
Batman Begins,action crime,origin fear gotham,Evil fears the Knight.,Christian Bale Liam Neeson Cillian Murphy,Christopher Nolan
The Dark Knight Rises,action thriller,bane uprising gotham,The Legend Ends.,Christian Bale Tom Hardy Anne Hathaway,Christopher Nolan
Inception,sci-fi thriller,dream heist subconscious,Your mind is the scene of the crime.,Leonardo DiCaprio Joseph Gordon-Levitt Tom Hardy,Christopher Nolan
Interstellar,sci-fi drama,space time dilation wormhole,Mankind was born on Earth. It was never meant to die here.,Matthew McConaughey Anne Hathaway Jessica Chastain,Christopher Nolan
Iron Man,action sci-fi,armor billionaire superhero,Heroes aren't born. They're built.,Robert Downey Jr. Gwyneth Paltrow Jeff Bridges,Jon Favreau
The Avengers,action sci-fi,team alien invasion tesseract,Some assembly required.,Robert Downey Jr. Chris Evans Scarlett Johansson,Joss Whedon
Captain America: Civil War,action,superheroes conflict registration,United We Stand. Divided We Fall.,Chris Evans Robert Downey Jr. Scarlett Johansson,Anthony Russo Joe Russo
Spider-Man,action,teen superhero spider,With great power comes great responsibility.,Tobey Maguire Kirsten Dunst Willem Dafoe,Sam Raimi
Titanic,drama romance,ship iceberg love,Nothing on Earth could come between them.,Leonardo DiCaprio Kate Winslet Billy Zane,James Cameron
Avatar,sci-fi adventure,pandora aliens marine,Enter the World of Pandora.,Sam Worthington Zoe Saldana Sigourney Weaver,James Cameron
The Matrix,sci-fi action,simulation hacker chosen one,Welcome to the Real World.,Keanu Reeves Laurence Fishburne Carrie-Anne Moss,Lana Wachowski Lilly Wachowski
John Wick,action thriller,assassin revenge dog,Don't set him off.,Keanu Reeves Michael Nyqvist Alfie Allen,Chad Stahelski
Mad Max: Fury Road,action adventure,post-apocalyptic chase war rig,What a Lovely Day.,Tom Hardy Charlize Theron Nicholas Hoult,George Miller
The Godfather,crime drama,mafia family don,An offer you can't refuse.,Marlon Brando Al Pacino James Caan,Francis Ford Coppola
The Shawshank Redemption,drama,prison hope friendship,Fear can hold you prisoner. Hope can set you free.,Tim Robbins Morgan Freeman Bob Gunton,Frank Darabont
Pulp Fiction,crime drama,hitmen nonlinear suitcase,Just because you are a character doesn't mean you have character.,John Travolta Uma Thurman Samuel L. Jackson,Quentin Tarantino
Fight Club,drama thriller,underground anarchism alter ego,Mischief. Mayhem. Soap.,Brad Pitt Edward Norton Helena Bonham Carter,David Fincher
The Social Network,drama,facebook startup lawsuit,You don't get to 500 million friends without making a few enemies.,Jesse Eisenberg Andrew Garfield Justin Timberlake,David Fincher
The Wolf of Wall Street,biography comedy drama,stocks fraud excess,EARN. SPEND. PARTY. CRASH.,Leonardo DiCaprio Jonah Hill Margot Robbie,Martin Scorsese
Gladiator,action drama,rome revenge arena,"Father of a murdered son, husband to a murdered wife.",Russell Crowe Joaquin Phoenix Connie Nielsen,Ridley Scott
